"REF_DATE","GEO","DGUID","Land use","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","New Brunswick","2016A000213","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725969","5.3.1","130","","","","0"
"1996","New Brunswick","2016A000213","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725969","5.3.1","95","","","","0"
"2001","New Brunswick","2016A000213","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725969","5.3.1","68","","","","0"
"2006","New Brunswick","2016A000213","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725969","5.3.1","70","","","","0"
"2011","New Brunswick","2016A000213","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725969","5.3.1","47","","","","0"
"2016","New Brunswick","2016A000213","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725969","5.3.1","23","","","","0"
"2021","New Brunswick","2016A000213","Summerfallow land","Number of farms reporting","Number","223","units","0","v62725969","5.3.1","18","","","","0"
"1976","New Brunswick","2016A000213","Summerfallow land","Acres","Acres","28","units","0","v62725970","5.3.2","4615","","","","0"
"1981","New Brunswick","2016A000213","Summerfallow land","Acres","Acres","28","units","0","v62725970","5.3.2","12807","","","","0"
"1986","New Brunswick","2016A000213","Summerfallow land","Acres","Acres","28","units","0","v62725970","5.3.2","10599","","","","0"
"1991","New Brunswick","2016A000213","Summerfallow land","Acres","Acres","28","units","0","v62725970","5.3.2","3833","","","","0"
"1996","New Brunswick","2016A000213","Summerfallow land","Acres","Acres","28","units","0","v62725970","5.3.2","1052","","","","0"
"2001","New Brunswick","2016A000213","Summerfallow land","Acres","Acres","28","units","0","v62725970","5.3.2","1582","","","","0"
"2006","New Brunswick","2016A000213","Summerfallow land","Acres","Acres","28","units","0","v62725970","5.3.2","2122","","","","0"
"2011","New Brunswick","2016A000213","Summerfallow land","Acres","Acres","28","units","0","v62725970","5.3.2","725","","","","0"
"2016","New Brunswick","2016A000213","Summerfallow land","Acres","Acres","28","units","0","v62725970","5.3.2","175","","","","0"
"2021","New Brunswick","2016A000213","Summerfallow land","Acres","Acres","28","units","0","v62725970","5.3.2","140","","","","0"
"1976","New Brunswick","2016A000213","Summerfallow land","Hectares","Hectares","149","units","0","v62725971","5.3.3","1868","","","","0"
"1981","New Brunswick","2016A000213","Summerfallow land","Hectares","Hectares","149","units","0","v62725971","5.3.3","5183","","","","0"
"1986","New Brunswick","2016A000213","Summerfallow land","Hectares","Hectares","149","units","0","v62725971","5.3.3","4289","","","","0"
"1991","New Brunswick","2016A000213","Summerfallow land","Hectares","Hectares","149","units","0","v62725971","5.3.3","1551","","","","0"
"1996","New Brunswick","2016A000213","Summerfallow land","Hectares","Hectares","149","units","0","v62725971","5.3.3","426","","","","0"
"2001","New Brunswick","2016A000213","Summerfallow land","Hectares","Hectares","149","units","0","v62725971","5.3.3","640","","","","0"
"2006","New Brunswick","2016A000213","Summerfallow land","Hectares","Hectares","149","units","0","v62725971","5.3.3","859","","","","0"
"2011","New Brunswick","2016A000213","Summerfallow land","Hectares","Hectares","149","units","0","v62725971","5.3.3","293","","","","0"
"2016","New Brunswick","2016A000213","Summerfallow land","Hectares","Hectares","149","units","0","v62725971","5.3.3","71","","","","0"
"2021","New Brunswick","2016A000213","Summerfallow land","Hectares","Hectares","149","units","0","v62725971","5.3.3","57","","","","0"
"1976","New Brunswick","2016A000213","Summerfallow land","Average area in acres","Acres","28","units","0","v62725972","5.3.4","21","","","","0"
"1981","New Brunswick","2016A000213","Summerfallow land","Average area in acres","Acres","28","units","0","v62725972","5.3.4","31","","","","0"
"1986","New Brunswick","2016A000213","Summerfallow land","Average area in acres","Acres","28","units","0","v62725972","5.3.4","32","","","","0"
"1991","New Brunswick","2016A000213","Summerfallow land","Average area in acres","Acres","28","units","0","v62725972","5.3.4","29","","","","0"
"1996","New Brunswick","2016A000213","Summerfallow land","Average area in acres","Acres","28","units","0","v62725972","5.3.4","11","","","","0"
"2001","New Brunswick","2016A000213","Summerfallow land","Average area in acres","Acres","28","units","0","v62725972","5.3.4","23","","","","0"
"2006","New Brunswick","2016A000213","Summerfallow land","Average area in acres","Acres","28","units","0","v62725972","5.3.4","30","","","","0"
"2011","New Brunswick","2016A000213","Summerfallow land","Average area in acres","Acres","28","units","0","v62725972","5.3.4","15","","","","0"
"2016","New Brunswick","2016A000213","Summerfallow land","Average area in acres","Acres","28","units","0","v62725972","5.3.4","8","","","","0"
"2021","New Brunswick","2016A000213","Summerfallow land","Average area in acres","Acres","28","units","0","v62725972","5.3.4","8","","","","0"
"1976","New Brunswick","2016A000213","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725973","5.4.1","2258","","","","0"
"1981","New Brunswick","2016A000213","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725973","5.4.1","2272","","","","0"
"1986","New Brunswick","2016A000213","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725973","5.4.1","1449","","","","0"
"1991","New Brunswick","2016A000213","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725973","5.4.1","1284","","","","0"
"1996","New Brunswick","2016A000213","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725973","5.4.1","919","","","","0"
"2001","New Brunswick","2016A000213","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725973","5.4.1","951","","","","0"
"2006","New Brunswick","2016A000213","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725973","5.4.1","781","","","","0"
"2011","New Brunswick","2016A000213","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725973","5.4.1","752","","","","0"
"2016","New Brunswick","2016A000213","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725973","5.4.1","535","","","","0"
"2021","New Brunswick","2016A000213","Tame or seeded pasture","Number of farms reporting","Number","223","units","0","v62725973","5.4.1","442","","","","0"
"1976","New Brunswick","2016A000213","Tame or seeded pasture","Acres","Acres","28","units","0","v62725974","5.4.2","99448","","","","0"
"1981","New Brunswick","2016A000213","Tame or seeded pasture","Acres","Acres","28","units","0","v62725974","5.4.2","102497","","","","0"
"1986","New Brunswick","2016A000213","Tame or seeded pasture","Acres","Acres","28","units","0","v62725974","5.4.2","67222","","","","0"
"1991","New Brunswick","2016A000213","Tame or seeded pasture","Acres","Acres","28","units","0","v62725974","5.4.2","61896","","","","0"
"1996","New Brunswick","2016A000213","Tame or seeded pasture","Acres","Acres","28","units","0","v62725974","5.4.2","49107","","","","0"
"2001","New Brunswick","2016A000213","Tame or seeded pasture","Acres","Acres","28","units","0","v62725974","5.4.2","44998","","","","0"
"2006","New Brunswick","2016A000213","Tame or seeded pasture","Acres","Acres","28","units","0","v62725974","5.4.2","42039","","","","0"
"2011","New Brunswick","2016A000213","Tame or seeded pasture","Acres","Acres","28","units","0","v62725974","5.4.2","41976","","","","0"
"2016","New Brunswick","2016A000213","Tame or seeded pasture","Acres","Acres","28","units","0","v62725974","5.4.2","29203","","","","0"
"2021","New Brunswick","2016A000213","Tame or seeded pasture","Acres","Acres","28","units","0","v62725974","5.4.2","23616","","","","0"
"1976","New Brunswick","2016A000213","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725975","5.4.3","40245","","","","0"
"1981","New Brunswick","2016A000213","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725975","5.4.3","41479","","","","0"
"1986","New Brunswick","2016A000213","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725975","5.4.3","27204","","","","0"
"1991","New Brunswick","2016A000213","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725975","5.4.3","25048","","","","0"
"1996","New Brunswick","2016A000213","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725975","5.4.3","19873","","","","0"
"2001","New Brunswick","2016A000213","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725975","5.4.3","18210","","","","0"
"2006","New Brunswick","2016A000213","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725975","5.4.3","17013","","","","0"
"2011","New Brunswick","2016A000213","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725975","5.4.3","16987","","","","0"
"2016","New Brunswick","2016A000213","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725975","5.4.3","11818","","","","0"
"2021","New Brunswick","2016A000213","Tame or seeded pasture","Hectares","Hectares","149","units","0","v62725975","5.4.3","9557","","","","0"
"1976","New Brunswick","2016A000213","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725976","5.4.4","44","","","","0"
"1981","New Brunswick","2016A000213","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725976","5.4.4","45","","","","0"
"1986","New Brunswick","2016A000213","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725976","5.4.4","46","","","","0"
"1991","New Brunswick","2016A000213","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725976","5.4.4","48","","","","0"
"1996","New Brunswick","2016A000213","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725976","5.4.4","53","","","","0"
"2001","New Brunswick","2016A000213","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725976","5.4.4","47","","","","0"
"2006","New Brunswick","2016A000213","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725976","5.4.4","54","","","","0"
"2011","New Brunswick","2016A000213","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725976","5.4.4","56","","","","0"
"2016","New Brunswick","2016A000213","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725976","5.4.4","55","","","","0"
"2021","New Brunswick","2016A000213","Tame or seeded pasture","Average area in acres","Acres","28","units","0","v62725976","5.4.4","53","","","","0"
"1976","New Brunswick","2016A000213","All other land","Number of farms reporting","Number","223","units","0","v62725977","5.5.1","4198","","","","0"
"1981","New Brunswick","2016A000213","All other land","Number of farms reporting","Number","223","units","0","v62725977","5.5.1","3680","","","","0"
"1986","New Brunswick","2016A000213","All other land","Number of farms reporting","Number","223","units","0","v62725977","5.5.1","3318","","","","0"
"1991","New Brunswick","2016A000213","All other land","Number of farms reporting","Number","223","units","0","v62725977","5.5.1","3058","","","","0"
"1996","New Brunswick","2016A000213","All other land","Number of farms reporting","Number","223","units","0","v62725977","5.5.1","3197","","","","0"
"2001","New Brunswick","2016A000213","All other land","Number of farms reporting","Number","223","units","0","v62725977","5.5.1","2765","","","","0"
"2006","New Brunswick","2016A000213","All other land","Number of farms reporting","Number","223","units","0","v62725977","5.5.1","2568","","","","0"
"2011","New Brunswick","2016A000213","All other land","Number of farms reporting","Number","223","units","0","v62725977","5.5.1","2434","","","","0"
"2016","New Brunswick","2016A000213","All other land","Number of farms reporting","Number","223","units","0","v62725977","5.5.1","2004","","","","0"
"2021","New Brunswick","2016A000213","All other land","Number of farms reporting","Number","223","units","0","v62725977","5.5.1","1463","","","","0"
"1976","New Brunswick","2016A000213","All other land","Acres","Acres","28","units","0","v62725978","5.5.2","710669","","","","0"
"1981","New Brunswick","2016A000213","All other land","Acres","Acres","28","units","0","v62725978","5.5.2","644238","","","","0"
"1986","New Brunswick","2016A000213","All other land","Acres","Acres","28","units","0","v62725978","5.5.2","612635","","","","0"
"1991","New Brunswick","2016A000213","All other land","Acres","Acres","28","units","0","v62725978","5.5.2","560397","","","","0"
"1996","New Brunswick","2016A000213","All other land","Acres","Acres","28","units","0","v62725978","5.5.2","570103","","","","0"
"2001","New Brunswick","2016A000213","All other land","Acres","Acres","28","units","0","v62725978","5.5.2","544421","","","","0"
"2006","New Brunswick","2016A000213","All other land","Acres","Acres","28","units","0","v62725978","5.5.2","556878","","","","0"
"2011","New Brunswick","2016A000213","All other land","Acres","Acres","28","units","0","v62725978","5.5.2","543897","","","","0"
"2016","New Brunswick","2016A000213","All other land","Acres","Acres","28","units","0","v62725978","5.5.2","461447","","","","0"
"2021","New Brunswick","2016A000213","All other land","Acres","Acres","28","units","0","v62725978","5.5.2","340309","","","","0"
"1976","New Brunswick","2016A000213","All other land","Hectares","Hectares","149","units","0","v62725979","5.5.3","287598","","","","0"
"1981","New Brunswick","2016A000213","All other land","Hectares","Hectares","149","units","0","v62725979","5.5.3","260714","","","","0"
"1986","New Brunswick","2016A000213","All other land","Hectares","Hectares","149","units","0","v62725979","5.5.3","247925","","","","0"
"1991","New Brunswick","2016A000213","All other land","Hectares","Hectares","149","units","0","v62725979","5.5.3","226785","","","","0"
"1996","New Brunswick","2016A000213","All other land","Hectares","Hectares","149","units","0","v62725979","5.5.3","230712","","","","0"
"2001","New Brunswick","2016A000213","All other land","Hectares","Hectares","149","units","0","v62725979","5.5.3","220319","","","","0"
"2006","New Brunswick","2016A000213","All other land","Hectares","Hectares","149","units","0","v62725979","5.5.3","225360","","","","0"
"2011","New Brunswick","2016A000213","All other land","Hectares","Hectares","149","units","0","v62725979","5.5.3","220107","","","","0"
"2016","New Brunswick","2016A000213","All other land","Hectares","Hectares","149","units","0","v62725979","5.5.3","186741","","","","0"
"2021","New Brunswick","2016A000213","All other land","Hectares","Hectares","149","units","0","v62725979","5.5.3","137718","","","","0"
"1976","New Brunswick","2016A000213","All other land","Average area in acres","Acres","28","units","0","v62725980","5.5.4","169","","","","0"
"1981","New Brunswick","2016A000213","All other land","Average area in acres","Acres","28","units","0","v62725980","5.5.4","175","","","","0"
"1986","New Brunswick","2016A000213","All other land","Average area in acres","Acres","28","units","0","v62725980","5.5.4","185","","","","0"
"1991","New Brunswick","2016A000213","All other land","Average area in acres","Acres","28","units","0","v62725980","5.5.4","183","","","","0"
"1996","New Brunswick","2016A000213","All other land","Average area in acres","Acres","28","units","0","v62725980","5.5.4","178","","","","0"
"2001","New Brunswick","2016A000213","All other land","Average area in acres","Acres","28","units","0","v62725980","5.5.4","197","","","","0"
"2006","New Brunswick","2016A000213","All other land","Average area in acres","Acres","28","units","0","v62725980","5.5.4","217","","","","0"
"2011","New Brunswick","2016A000213","All other land","Average area in acres","Acres","28","units","0","v62725980","5.5.4","223","","","","0"
"2016","New Brunswick","2016A000213","All other land","Average area in acres","Acres","28","units","0","v62725980","5.5.4","230","","","","0"
"2021","New Brunswick","2016A000213","All other land","Average area in acres","Acres","28","units","0","v62725980","5.5.4","233","","","","0"
"1921","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","137619","","","","0"
"1926","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","","..","","","0"
"1931","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","135957","","","","0"
"1936","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","","..","","","0"
"1941","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","154669","","","","0"
"1946","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","","..","","","0"
"1951","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","134336","","","","0"
"1956","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","122617","","","","0"
"1961","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","95777","","","","0"
"1966","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","80294","","","","0"
"1971","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","61257","","","","0"
"1976","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","51587","","","","0"
"1981","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","48144","","","","0"
"1986","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","41448","","","","0"
"1991","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","38076","","","","0"
"1996","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","35991","","","","0"
"2001","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","32139","","","","0"
"2006","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","30675","","","","0"
"2011","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","29437","","","","0"
"2016","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","28919","","","","0"
"2021","Quebec","2016A000224","Total area of farms","Number of farms reporting","Number","223","units","0","v62725981","6.1.1","29380","","","","0"
"1921","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","17257012","","","","0"
"1926","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","","..","","","0"
"1931","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","17304164","","","","0"
"1936","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","","..","","","0"
"1941","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","18062564","","","","0"
"1946","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","","..","","","0"
"1951","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","16786405","","","","0"
"1956","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","15910128","","","","0"
"1961","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","14198492","","","","0"
"1966","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","12886069","","","","0"
"1971","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","10801116","","","","0"
"1976","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","9906319","","","","0"
"1981","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","9338532","","","","0"
"1986","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","8991673","","","","0"
"1991","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","8474751","","","","0"
"1996","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","8540488","","","","0"
"2001","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","8443656","","","","0"
"2006","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","8557101","","","","0"
"2011","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","8256614","","","","0"
"2016","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","8103247","","","","0"
"2021","Quebec","2016A000224","Total area of farms","Acres","Acres","28","units","0","v62725982","6.1.2","7770428","","","","0"
"1921","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","6983664","","","","0"
"1926","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","","..","","","0"
"1931","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","7002746","","","","0"
"1936","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","","..","","","0"
"1941","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","7309660","","","","0"
"1946","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","","..","","","0"
"1951","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","6793216","","","","0"
"1956","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","6438600","","","","0"
"1961","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","5745925","","","","0"
"1966","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","5214807","","","","0"
"1971","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","4371056","","","","0"
"1976","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","4008945","","","","0"
"1981","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","3779169","","","","0"
"1986","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","3638801","","","","0"
"1991","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","3429610","","","","0"
"1996","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","3456213","","","","0"
"2001","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","3417026","","","","0"
"2006","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","3462935","","","","0"
"2011","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","3341333","","","","0"
"2016","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","3279267","","","","0"
"2021","Quebec","2016A000224","Total area of farms","Hectares","Hectares","149","units","0","v62725983","6.1.3","3144580","","","","0"
"1921","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","125","","","","0"
"1926","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","","..","","","0"
"1931","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","127","","","","0"
"1936","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","","..","","","0"
"1941","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","117","","","","0"
"1946","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","","..","","","0"
"1951","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","125","","","","0"
"1956","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","130","","","","0"
"1961","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","148","","","","0"
"1966","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","160","","","","0"
"1971","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","176","","","","0"
"1976","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","192","","","","0"
"1981","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","194","","","","0"
"1986","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","217","","","","0"
"1991","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","223","","","","0"
"1996","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","237","","","","0"
"2001","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","263","","","","0"
"2006","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","279","","","","0"
"2011","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","280","","","","0"
"2016","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","280","","","","0"
"2021","Quebec","2016A000224","Total area of farms","Average area in acres","Acres","28","units","0","v62725984","6.1.4","264","","","","0"
"1956","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","118841","","","","0"
"1961","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","93586","","","","0"
"1966","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","78133","","","","0"
"1971","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","57549","","","","0"
"1976","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","48463","","","","0"
"1981","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","42646","","","","0"
"1986","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","36035","","","","0"
"1991","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","31160","","","","0"
"1996","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","28676","","","","0"
"2001","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","26036","","","","0"
"2006","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","23967","","","","0"
"2011","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","22479","","","","0"
"2016","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","21614","","","","0"
"2021","Quebec","2016A000224","Land in crops","Number of farms reporting","Number","223","units","0","v62725985","6.2.1","20573","","","","0"
"1921","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","6000956","","","","0"
"1926","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","","..","","","0"
"1931","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","6140299","","","","0"
"1936","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","","..","","","0"
"1941","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","6137521","","","","0"
"1946","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","","..","","","0"
"1951","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","5790359","","","","0"
"1956","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","5549524","","","","0"
"1961","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","5213302","","","","0"
"1966","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","5166421","","","","0"
"1971","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","4337236","","","","0"
"1976","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","4565290","","","","0"
"1981","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","4339264","","","","0"
"1986","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","4310496","","","","0"
"1991","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","4048706","","","","0"
"1996","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","4296697","","","","0"
"2001","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","4571296","","","","0"
"2006","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","4777225","","","","0"
"2011","Quebec","2016A000224","Land in crops","Acres","Acres","28","units","0","v62725986","6.2.2","4632634","","","","0"
